r,L,M,S
432.9,0.0315505,0.0463908,0.863037
433,0.0316694,0.0466432,0.864961
433.1,0.0317886,0.0468964,0.866882
433.2,0.0319081,0.0471503,0.868798
433.3,0.0320278,0.0474049,0.870713
433.4,0.0321478,0.0476602,0.872625
433.5,0.032268,0.0479162,0.874536
433.6,0.0323885,0.0481727,0.876447
433.7,0.0325092,0.0484299,0.878358
433.8,0.0326302,0.0486877,0.88027
433.9,0.0327515,0.0489461,0.882184
434,0.0328731,0.049205,0.8841
434.1,0.032995,0.0494645,0.88602
434.2,0.0331171,0.0497245,0.887943
434.3,0.0332396,0.0499849,0.889872
434.4,0.0333623,0.0502458,0.891806
434.5,0.0334854,0.0505072,0.893746
434.6,0.0336087,0.050769,0.895694
434.7,0.0337324,0.0510312,0.89765
434.8,0.0338564,0.0512937,0.899614
434.9,0.0339807,0.0515567,0.901588
435,0.0341054,0.0518199,0.903573
435.1,0.0342304,0.0520834,0.905568
435.2,0.0343557,0.0523472,0.907574
435.3,0.0344813,0.0526113,0.909588
435.4,0.0346072,0.0528755,0.911611
435.5,0.0347333,0.05314,0.91364
435.6,0.0348597,0.0534046,0.915675
435.7,0.0349863,0.0536694,0.917714
435.8,0.0351131,0.0539344,0.919756
435.9,0.03524,0.0541994,0.9218
436,0.035367,0.0544645,0.923844
436.1,0.0354942,0.0547296,0.925889
436.2,0.0356215,0.0549947,0.927931
436.3,0.0357489,0.0552599,0.929971
436.4,0.0358762,0.055525,0.932006
436.5,0.0360036,0.05579,0.934035
436.6,0.036131,0.0560549,0.936058
436.7,0.0362584,0.0563197,0.938073
436.8,0.0363857,0.0565844,0.940078
436.9,0.0365129,0.0568488,0.942073
437,0.03664,0.0571131,0.944055
437.1,0.036767,0.0573771,0.946024
437.2,0.0368938,0.0576408,0.947979
437.3,0.0370204,0.0579042,0.949917
437.4,0.0371468,0.0581673,0.951838
437.5,0.0372729,0.05843,0.95374
437.6,0.0373988,0.0586924,0.955622
437.7,0.0375243,0.0589542,0.957482
437.8,0.0376496,0.0592157,0.95932
437.9,0.0377744,0.0594766,0.961133
438,0.0378988,0.0597369,0.96292
438.1,0.0380229,0.0599968,0.96468
438.2,0.0381464,0.060256,0.966411
438.3,0.0382695,0.0605145,0.968112
438.4,0.0383921,0.0607724,0.969782
438.5,0.0385141,0.0610296,0.971419
438.6,0.0386355,0.0612861,0.973021
438.7,0.0387564,0.0615418,0.974587
438.8,0.0388765,0.0617966,0.976117
438.9,0.038996,0.0620506,0.977607
439,0.0391148,0.0623038,0.979057
439.1,0.0392329,0.062556,0.980465
439.2,0.0393501,0.0628072,0.981831
439.3,0.0394666,0.0630575,0.983151
439.4,0.0395822,0.0633067,0.984426
439.5,0.0396969,0.0635549,0.985652
439.6,0.0398108,0.0638019,0.98683
439.7,0.0399236,0.0640478,0.987957
439.8,0.0400355,0.0642925,0.989032
439.9,0.0401464,0.064536,0.990054
440,0.0402563,0.0647782,0.99102
440.1,0.040365,0.0650191,0.991931
440.2,0.0404727,0.0652588,0.992786
440.3,0.0405794,0.0654972,0.993587
440.4,0.040685,0.0657343,0.994335
440.5,0.0407897,0.0659703,0.99503
440.6,0.0408933,0.0662051,0.995675
440.7,0.0409961,0.0664387,0.996269
440.8,0.0410979,0.0666712,0.996815
440.9,0.0411988,0.0669026,0.997313
441,0.0412989,0.0671329,0.997765
441.1,0.0413982,0.0673622,0.998171
441.2,0.0414966,0.0675905,0.998533
441.3,0.0415942,0.0678178,0.998852
441.4,0.0416911,0.0680442,0.99913
441.5,0.0417873,0.0682697,0.999366
441.6,0.0418828,0.0684942,0.999564
441.7,0.0419776,0.068718,0.999723
441.8,0.0420717,0.0689409,0.999844
441.9,0.0421653,0.069163,0.999931
442,0.0422582,0.0693844,0.999982
442.1,0.0423506,0.0696051,1
442.2,0.0424425,0.0698251,0.999986
442.3,0.0425339,0.0700445,0.999941
442.4,0.0426249,0.0702633,0.999866
442.5,0.0427154,0.0704816,0.999762
442.6,0.0428055,0.0706993,0.999632
442.7,0.0428953,0.0709165,0.999475
442.8,0.0429847,0.0711333,0.999294
442.9,0.0430739,0.0713498,0.999088
443,0.0431627,0.0715658,0.998861
443.1,0.0432514,0.0717816,0.998612
443.2,0.0433398,0.071997,0.998344
443.3,0.0434281,0.0722123,0.998057
443.4,0.0435163,0.0724273,0.997752
443.5,0.0436043,0.0726423,0.997431
443.6,0.0436923,0.0728571,0.997096
443.7,0.0437803,0.0730719,0.996746
443.8,0.0438682,0.0732866,0.996385
443.9,0.0439563,0.0735015,0.996012
444,0.0440444,0.0737164,0.995628
444.1,0.0441326,0.0739314,0.995236
444.2,0.044221,0.0741466,0.994837
444.3,0.0443095,0.0743621,0.994431
444.4,0.0443983,0.0745779,0.99402
